Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
100-69-1733,C,Naypyitaw,Normal,Male,Food and beverages,91.33,9,41.0985,863.0685,02/24/2019,20:29,Ewallet,821.97,4.761904762,41.0985,5.0
935-79-7983,A,Yangon,Member,Male,Health and beauty,77.1,7,26.985,566.685,03/05/2019,10:28,Ewallet,539.7,4.761904762,26.985,5.0
486-77-5397,A,Yangon,Normal,Male,Fashion accessories,36.1,7,12.635,265.335,02/20/2019,17:17,Ewallet,252.7,4.761904762,12.635,8.8
709-67-8358,B,Mandalay,Member,Male,Fashion accessories,56.47,3,8.4705,177.8805,02/10/2019,13:09,Ewallet,169.41,4.761904762,8.4705,8.7
193-42-7085,C,Naypyitaw,Normal,Male,Sports and travel,21.78,6,6.534,137.214,02/16/2019,13:03,Credit card,130.68,4.761904762,6.534,9.5
253-84-1159,B,Mandalay,Member,Female,Fashion accessories,70.15,8,28.06,589.26,02/08/2019,19:38,Cash,561.2,4.761904762,28.06,5.5
794-45-6991,C,Naypyitaw,Normal,Female,Fashion accessories,29.04,9,13.068,274.428,03/24/2019,20:28,Ewallet,261.36,4.761904762,13.068,6.7
234-59-6372,A,Yangon,Normal,Male,Electronic accessories,45.45,6,13.635,286.335,01/07/2019,18:30,Ewallet,272.7,4.761904762,13.635,5.8
855-42-4825,C,Naypyitaw,Member,Male,Electronic accessories,12.86,2,1.286,27.006,03/16/2019,17:27,Cash,25.72,4.761904762,1.286,6.1
531-92-6977,C,Naypyitaw,Normal,Male,Electronic accessories,77.82,6,23.346,490.266,01/28/2019,20:37,Credit card,466.92,4.761904762,23.346,4.7
947-32-5922,A,Yangon,Normal,Female,Food and beverages,55.92,5,13.98,293.58,03/28/2019,19:59,Credit card,279.6,4.761904762,13.98,9.8
239-55-8552,C,Naypyitaw,Normal,Male,Electronic accessories,54.45,1,2.7225,57.1725,03/07/2019,17:15,Credit card,54.45,4.761904762,2.7225,9.5
722-72-3006,B,Mandalay,Member,Female,Food and beverages,13.61,7,4.7635,100.0335,01/01/2019,17:04,Credit card,95.27,4.761904762,4.7635,7.0
587-16-1485,B,Mandalay,Member,Male,Electronic accessories,30.39,3,4.5585,95.7285,03/30/2019,11:32,Ewallet,91.17,4.761904762,4.5585,8.9
806-59-7350,C,Naypyitaw,Normal,Male,Food and beverages,90.63,8,36.252,761.292,02/03/2019,17:15,Cash,725.04,4.761904762,36.252,8.1
959-83-6482,A,Yangon,Normal,Male,Health and beauty,22.99,2,2.299,48.279,01/05/2019,14:29,Ewallet,45.98,4.761904762,2.299,7.7
919-32-5881,B,Mandalay,Member,Male,Home and lifestyle,33.7,6,10.11,212.31,01/16/2019,18:39,Cash,202.2,4.761904762,10.11,9.3
489-98-4094,A,Yangon,Normal,Male,Health and beauty,48.22,3,7.233,151.893,01/31/2019,18:50,Credit card,144.66,4.761904762,7.233,7.4
661-59-7758,A,Yangon,Normal,Male,Home and lifestyle,27.32,1,1.366,28.686,01/31/2019,18:49,Ewallet,27.32,4.761904762,1.366,4.7
993-78-1333,C,Naypyitaw,Normal,Female,Health and beauty,61.27,2,6.127,128.667,03/09/2019,15:27,Cash,122.54,4.761904762,6.127,7.7
987-47-2130,A,Yangon,Member,Female,Health and beauty,74.57,3,11.1855,234.8955,02/22/2019,17:45,Ewallet,223.71,4.761904762,11.1855,4.2
689-74-8845,A,Yangon,Member,Male,Sports and travel,47.01,5,11.7525,246.8025,02/13/2019,11:23,Cash,235.05,4.761904762,11.7525,6.9
763-27-5743,C,Naypyitaw,Member,Female,Food and beverages,34.44,9,15.498,325.458,01/05/2019,16:18,Cash,309.96,4.761904762,15.498,8.7
335-42-7835,C,Naypyitaw,Member,Female,Food and beverages,56.92,1,2.846,59.766,01/07/2019,16:44,Credit card,56.92,4.761904762,2.846,4.0
833-56-7647,B,Mandalay,Normal,Female,Home and lifestyle,46.45,10,23.225,487.725,01/25/2019,18:56,Ewallet,464.5,4.761904762,23.225,7.5
162-34-1900,B,Mandalay,Member,Female,Food and beverages,39.27,6,11.781,247.401,01/14/2019,16:53,Ewallet,235.62,4.761904762,11.781,5.1
784-43-3073,A,Yangon,Member,Male,Food and beverages,97.11,5,24.2775,509.8275,02/18/2019,19:42,Cash,485.55,4.761904762,24.2775,7.0
364-28-2313,B,Mandalay,Normal,Male,Health and beauty,55.13,8,22.052,463.092,01/09/2019,13:19,Ewallet,441.04,4.761904762,22.052,6.1
624-14-5901,C,Naypyitaw,Member,Male,Sports and travel,82.35,4,16.47,345.87,03/20/2019,12:06,Credit card,329.4,4.761904762,16.47,6.9
101-30-7973,A,Yangon,Normal,Male,Fashion accessories,43.05,7,15.0675,316.4175,03/07/2019,20:57,Cash,301.35,4.761904762,15.0675,4.6
444-50-3760,A,Yangon,Member,Male,Sports and travel,61.25,5,15.3125,321.5625,03/12/2019,11:02,Cash,306.25,4.761904762,15.3125,8.5
262-17-1276,A,Yangon,Normal,Female,Food and beverages,94.96,1,4.748,99.708,03/28/2019,10:23,Cash,94.96,4.761904762,4.748,7.7
450-84-6432,A,Yangon,Member,Female,Sports and travel,55.87,1,2.7935,58.6635,02/27/2019,19:47,Cash,55.87,4.761904762,2.7935,9.3
507-23-5576,B,Mandalay,Member,Female,Health and beauty,58.96,1,2.948,61.908,01/07/2019,12:10,Ewallet,58.96,4.761904762,2.948,5.0
299-68-9364,B,Mandalay,Member,Female,Fashion accessories,27.72,5,6.93,145.53,01/10/2019,12:34,Cash,138.6,4.761904762,6.93,4.1
969-55-6092,B,Mandalay,Normal,Female,Health and beauty,69.92,8,27.968,587.328,03/06/2019,19:18,Credit card,559.36,4.761904762,27.968,7.5
152-60-3871,B,Mandalay,Normal,Male,Electronic accessories,37.68,10,18.84,395.64,03/09/2019,20:37,Ewallet,376.8,4.761904762,18.84,4.5
498-87-5245,B,Mandalay,Member,Female,Home and lifestyle,39.5,1,1.975,41.475,01/19/2019,18:43,Ewallet,39.5,4.761904762,1.975,7.6
277-43-2757,C,Naypyitaw,Member,Male,Food and beverages,36.63,6,10.989,230.769,02/20/2019,12:08,Credit card,219.78,4.761904762,10.989,9.9
353-66-6668,C,Naypyitaw,Member,Female,Home and lifestyle,90.45,4,18.09,379.89,02/10/2019,11:47,Credit card,361.8,4.761904762,18.09,7.8
541-22-7467,C,Naypyitaw,Normal,Female,Fashion accessories,28.28,7,9.898,207.858,02/06/2019,20:52,Credit card,197.96,4.761904762,9.898,7.6
631-42-5457,B,Mandalay,Member,Female,Food and beverages,87.38,9,39.321,825.741,03/05/2019,10:18,Cash,786.42,4.761904762,39.321,6.5
696-65-5950,B,Mandalay,Normal,Female,Fashion accessories,59.2,4,11.84,248.64,03/07/2019,11:30,Credit card,236.8,4.761904762,11.84,8.9
228-57-7213,C,Naypyitaw,Normal,Male,Home and lifestyle,86.9,2,8.69,182.49,02/09/2019,13:46,Cash,173.8,4.761904762,8.69,9.6
477-16-1113,A,Yangon,Member,Female,Home and lifestyle,26.76,6,8.028,168.588,02/10/2019,15:25,Ewallet,160.56,4.761904762,8.028,7.7
345-21-3533,B,Mandalay,Member,Female,Food and beverages,96.89,9,43.6005,915.6105,01/01/2019,14:05,Cash,872.01,4.761904762,43.6005,5.5
528-37-6770,A,Yangon,Member,Male,Sports and travel,88.44,9,39.798,835.758,02/28/2019,13:15,Ewallet,795.96,4.761904762,39.798,4.6
809-31-1016,A,Yangon,Normal,Female,Food and beverages,10.84,1,0.542,11.382,03/30/2019,10:55,Ewallet,10.84,4.761904762,0.542,4.8
206-91-6232,A,Yangon,Member,Female,Home and lifestyle,11.0,9,4.95,103.95,03/07/2019,18:08,Cash,99.0,4.761904762,4.95,6.1
121-56-9700,C,Naypyitaw,Normal,Female,Health and beauty,76.85,2,7.685,161.385,03/17/2019,20:19,Credit card,153.7,4.761904762,7.685,5.5
839-98-2237,B,Mandalay,Member,Female,Food and beverages,24.38,5,6.095,127.995,01/06/2019,12:17,Ewallet,121.9,4.761904762,6.095,5.9
624-57-2625,C,Naypyitaw,Normal,Male,Health and beauty,44.08,1,2.204,46.284,01/14/2019,10:05,Credit card,44.08,4.761904762,2.204,7.8
167-77-2392,B,Mandalay,Member,Female,Home and lifestyle,62.0,4,12.4,260.4,02/01/2019,19:10,Ewallet,248.0,4.761904762,12.4,4.4
513-55-5703,A,Yangon,Normal,Male,Home and lifestyle,26.09,7,9.1315,191.7615,03/25/2019,13:04,Credit card,182.63,4.761904762,9.1315,8.6
222-63-5885,A,Yangon,Normal,Female,Sports and travel,60.1,10,30.05,631.05,02/23/2019,18:19,Credit card,601.0,4.761904762,30.05,9.7
223-76-8033,B,Mandalay,Member,Male,Fashion accessories,27.77,6,8.331,174.951,02/11/2019,18:56,Ewallet,166.62,4.761904762,8.331,6.7
239-84-6291,B,Mandalay,Member,Female,Health and beauty,28.12,6,8.436,177.156,01/21/2019,19:03,Cash,168.72,4.761904762,8.436,9.3
307-54-6030,B,Mandalay,Normal,Male,Food and beverages,27.54,2,2.754,57.834,01/08/2019,15:44,Ewallet,55.08,4.761904762,2.754,4.2
887-42-7145,A,Yangon,Normal,Male,Home and lifestyle,70.68,10,35.34,742.14,01/24/2019,20:17,Cash,706.8,4.761904762,35.34,4.0
691-52-2987,B,Mandalay,Member,Male,Sports and travel,83.36,4,16.672,350.112,02/21/2019,14:38,Ewallet,333.44,4.761904762,16.672,8.0
129-55-8863,C,Naypyitaw,Member,Male,Sports and travel,66.77,5,16.6925,350.5425,01/30/2019,14:12,Credit card,333.85,4.761904762,16.6925,4.6
489-62-9777,B,Mandalay,Normal,Male,Home and lifestyle,64.27,3,9.6405,202.4505,02/10/2019,13:44,Cash,192.81,4.761904762,9.6405,9.8
847-58-9743,C,Naypyitaw,Member,Male,Food and beverages,54.32,10,27.16,570.36,02/07/2019,12:06,Ewallet,543.2,4.761904762,27.16,9.8
588-93-5728,A,Yangon,Member,Female,Fashion accessories,53.57,4,10.714,224.994,03/26/2019,13:57,Credit card,214.28,4.761904762,10.714,8.1
758-14-8114,C,Naypyitaw,Normal,Female,Electronic accessories,54.03,5,13.5075,283.6575,01/24/2019,11:44,Ewallet,270.15,4.761904762,13.5075,6.1
321-60-4337,B,Mandalay,Member,Male,Health and beauty,22.06,8,8.824,185.304,03/30/2019,11:20,Cash,176.48,4.761904762,8.824,8.7
500-53-9214,C,Naypyitaw,Member,Female,Electronic accessories,29.48,8,11.792,247.632,02/09/2019,11:35,Cash,235.84,4.761904762,11.792,5.3
311-38-6643,A,Yangon,Member,Female,Food and beverages,94.13,4,18.826,395.346,02/05/2019,16:08,Ewallet,376.52,4.761904762,18.826,5.5
874-32-4637,A,Yangon,Normal,Female,Home and lifestyle,20.87,1,1.0435,21.9135,01/26/2019,11:09,Credit card,20.87,4.761904762,1.0435,8.3
412-47-2154,B,Mandalay,Normal,Male,Fashion accessories,55.24,4,11.048,232.008,01/17/2019,11:24,Credit card,220.96,4.761904762,11.048,8.9
811-58-7348,A,Yangon,Member,Female,Fashion accessories,78.02,2,7.802,163.842,03/02/2019,16:39,Ewallet,156.04,4.761904762,7.802,8.4
673-98-1898,B,Mandalay,Member,Female,Sports and travel,33.65,5,8.4125,176.6625,02/11/2019,16:26,Cash,168.25,4.761904762,8.4125,7.3
580-15-8403,C,Naypyitaw,Member,Male,Sports and travel,84.06,9,37.827,794.367,03/29/2019,14:50,Cash,756.54,4.761904762,37.827,5.8
635-22-7796,B,Mandalay,Normal,Male,Home and lifestyle,88.25,6,26.475,555.975,03/23/2019,12:52,Ewallet,529.5,4.761904762,26.475,9.6
805-74-1210,B,Mandalay,Normal,Male,Sports and travel,89.03,3,13.3545,280.4445,02/19/2019,16:23,Ewallet,267.09,4.761904762,13.3545,9.8
871-59-4268,B,Mandalay,Member,Female,Food and beverages,24.38,5,6.095,127.995,02/10/2019,12:58,Ewallet,121.9,4.761904762,6.095,7.8
309-75-9500,A,Yangon,Member,Female,Health and beauty,91.89,7,32.1615,675.3915,01/25/2019,10:37,Cash,643.23,4.761904762,32.1615,4.6
613-86-7628,A,Yangon,Normal,Male,Electronic accessories,23.4,5,5.85,122.85,02/24/2019,14:20,Ewallet,117.0,4.761904762,5.85,5.9
993-18-9879,B,Mandalay,Normal,Female,Fashion accessories,10.37,5,2.5925,54.4425,02/03/2019,15:25,Ewallet,51.85,4.761904762,2.5925,5.9
757-24-9347,A,Yangon,Normal,Female,Food and beverages,30.18,8,12.072,253.512,03/27/2019,11:10,Credit card,241.44,4.761904762,12.072,9.3
903-82-8798,A,Yangon,Normal,Female,Health and beauty,94.55,10,47.275,992.775,01/22/2019,15:33,Credit card,945.5,4.761904762,47.275,4.6
497-41-9320,B,Mandalay,Normal,Male,Health and beauty,49.37,8,19.748,414.708,01/12/2019,18:27,Cash,394.96,4.761904762,19.748,5.7
966-16-3617,B,Mandalay,Normal,Male,Food and beverages,34.48,3,5.172,108.612,01/09/2019,14:17,Credit card,103.44,4.761904762,5.172,8.2
615-78-6617,A,Yangon,Normal,Female,Fashion accessories,28.63,3,4.2945,90.1845,02/20/2019,18:24,Cash,85.89,4.761904762,4.2945,4.9
667-64-8719,C,Naypyitaw,Member,Female,Fashion accessories,68.7,2,6.87,144.27,02/19/2019,12:30,Ewallet,137.4,4.761904762,6.87,6.3
928-86-5967,B,Mandalay,Normal,Female,Sports and travel,20.9,4,4.18,87.78,02/13/2019,16:15,Cash,83.6,4.761904762,4.18,5.2
888-49-7436,B,Mandalay,Member,Male,Sports and travel,14.41,3,2.1615,45.3915,01/23/2019,19:04,Credit card,43.23,4.761904762,2.1615,5.6
300-45-9736,A,Yangon,Normal,Female,Fashion accessories,12.89,8,5.156,108.276,03/25/2019,15:52,Cash,103.12,4.761904762,5.156,9.1
166-63-2846,A,Yangon,Normal,Male,Health and beauty,69.8,5,17.45,366.45,03/29/2019,17:43,Cash,349.0,4.761904762,17.45,6.4
826-66-7450,C,Naypyitaw,Normal,Male,Electronic accessories,50.33,9,22.6485,475.6185,02/27/2019,18:18,Cash,452.97,4.761904762,22.6485,5.8
178-27-2189,B,Mandalay,Normal,Male,Food and beverages,71.85,5,17.9625,377.2125,02/04/2019,10:04,Credit card,359.25,4.761904762,17.9625,7.3
366-29-1541,C,Naypyitaw,Member,Male,Food and beverages,70.2,7,24.57,515.97,01/13/2019,19:43,Ewallet,491.4,4.761904762,24.57,5.4
482-87-9547,A,Yangon,Normal,Male,Health and beauty,16.26,4,3.252,68.292,02/03/2019,19:59,Ewallet,65.04,4.761904762,3.252,8.8
313-83-4951,A,Yangon,Member,Female,Food and beverages,60.11,1,3.0055,63.1155,01/13/2019,10:25,Cash,60.11,4.761904762,3.0055,5.3
920-25-4350,B,Mandalay,Member,Male,Fashion accessories,56.34,1,2.817,59.157,03/19/2019,11:17,Credit card,56.34,4.761904762,2.817,4.9
259-10-3742,A,Yangon,Member,Male,Electronic accessories,71.94,5,17.985,377.685,02/19/2019,15:39,Ewallet,359.7,4.761904762,17.985,4.9
489-21-1213,B,Mandalay,Member,Male,Health and beauty,72.87,9,32.7915,688.6215,02/09/2019,14:30,Ewallet,655.83,4.761904762,32.7915,8.7
668-92-8918,A,Yangon,Normal,Female,Electronic accessories,36.1,8,14.44,303.24,03/16/2019,11:37,Cash,288.8,4.761904762,14.44,7.0
921-38-7933,B,Mandalay,Member,Female,Home and lifestyle,72.9,8,29.16,612.36,02/24/2019,16:38,Cash,583.2,4.761904762,29.16,9.9
514-16-7872,A,Yangon,Member,Female,Fashion accessories,78.38,1,3.919,82.299,02/09/2019,11:33,Cash,78.38,4.761904762,3.919,4.2
485-69-7743,C,Naypyitaw,Member,Male,Health and beauty,76.29,6,22.887,480.627,01/24/2019,16:20,Credit card,457.74,4.761904762,22.887,8.0
680-10-1873,A,Yangon,Normal,Female,Fashion accessories,83.15,6,24.945,523.845,03/02/2019,14:05,Ewallet,498.9,4.761904762,24.945,6.3
963-45-6894,A,Yangon,Normal,Male,Fashion accessories,91.08,10,45.54,956.34,03/06/2019,18:13,Ewallet,910.8,4.761904762,45.54,9.2
606-50-9596,B,Mandalay,Normal,Male,Food and beverages,30.76,4,6.152,129.192,01/22/2019,17:01,Cash,123.04,4.761904762,6.152,9.8
837-86-4321,C,Naypyitaw,Member,Male,Home and lifestyle,95.83,1,4.7915,100.6215,03/16/2019,10:47,Ewallet,95.83,4.761904762,4.7915,8.0
665-55-7579,A,Yangon,Normal,Male,Health and beauty,13.05,5,3.2625,68.5125,01/13/2019,18:04,Credit card,65.25,4.761904762,3.2625,7.2
435-96-8180,C,Naypyitaw,Member,Female,Fashion accessories,62.09,9,27.9405,586.7505,02/11/2019,19:00,Ewallet,558.81,4.761904762,27.9405,7.1
336-11-5870,C,Naypyitaw,Normal,Male,Food and beverages,76.79,6,23.037,483.777,01/26/2019,15:39,Credit card,460.74,4.761904762,23.037,9.7
381-21-6211,C,Naypyitaw,Normal,Female,Fashion accessories,56.89,9,25.6005,537.6105,02/07/2019,13:03,Ewallet,512.01,4.761904762,25.6005,7.4
709-12-7947,B,Mandalay,Normal,Male,Food and beverages,87.58,2,8.758,183.918,03/01/2019,14:01,Credit card,175.16,4.761904762,8.758,8.7
636-62-3740,A,Yangon,Normal,Male,Health and beauty,97.73,3,14.6595,307.8495,02/27/2019,12:28,Cash,293.19,4.761904762,14.6595,8.8
760-72-4265,A,Yangon,Normal,Female,Electronic accessories,44.16,10,22.08,463.68,02/05/2019,13:08,Cash,441.6,4.761904762,22.08,9.7
321-95-5017,C,Naypyitaw,Normal,Female,Health and beauty,83.41,3,12.5115,262.7415,03/20/2019,20:59,Cash,250.23,4.761904762,12.5115,8.3
731-16-3560,C,Naypyitaw,Normal,Female,Electronic accessories,70.54,10,35.27,740.67,02/08/2019,18:42,Ewallet,705.4,4.761904762,35.27,8.5
606-50-5961,B,Mandalay,Member,Female,Health and beauty,13.01,4,2.602,54.642,01/27/2019,11:42,Ewallet,52.04,4.761904762,2.602,5.8
600-78-2574,C,Naypyitaw,Member,Female,Fashion accessories,54.45,6,16.335,343.035,02/27/2019,11:46,Cash,326.7,4.761904762,16.335,4.2
447-30-7744,C,Naypyitaw,Normal,Male,Sports and travel,21.27,7,7.4445,156.3345,03/24/2019,15:11,Cash,148.89,4.761904762,7.4445,5.5
405-41-7985,B,Mandalay,Normal,Male,Electronic accessories,19.3,7,6.755,141.855,03/23/2019,18:57,Cash,135.1,4.761904762,6.755,4.7
878-92-1603,A,Yangon,Normal,Female,Electronic accessories,30.44,7,10.654,223.734,03/23/2019,16:21,Credit card,213.08,4.761904762,10.654,5.6
600-81-7418,A,Yangon,Normal,Female,Home and lifestyle,22.7,3,3.405,71.505,03/21/2019,20:26,Credit card,68.1,4.761904762,3.405,7.1
166-95-2319,B,Mandalay,Member,Male,Health and beauty,78.41,4,15.682,329.322,01/22/2019,13:57,Cash,313.64,4.761904762,15.682,7.0
399-97-7994,B,Mandalay,Normal,Male,Health and beauty,20.92,5,5.23,109.83,02/21/2019,14:00,Ewallet,104.6,4.761904762,5.23,5.5
744-94-6055,B,Mandalay,Member,Female,Health and beauty,91.43,4,18.286,384.006,02/27/2019,14:56,Cash,365.72,4.761904762,18.286,9.4
920-38-9802,C,Naypyitaw,Normal,Male,Health and beauty,80.99,2,8.099,170.079,01/14/2019,12:04,Credit card,161.98,4.761904762,8.099,9.6
605-74-3290,B,Mandalay,Normal,Male,Health and beauty,93.39,9,42.0255,882.5355,03/26/2019,11:53,Ewallet,840.51,4.761904762,42.0255,5.1
118-49-3135,B,Mandalay,Member,Female,Food and beverages,66.08,6,19.824,416.304,03/19/2019,20:10,Credit card,396.48,4.761904762,19.824,4.0
770-87-4831,A,Yangon,Normal,Male,Health and beauty,48.32,6,14.496,304.416,01/11/2019,12:21,Cash,289.92,4.761904762,14.496,8.9
124-35-6085,B,Mandalay,Member,Male,Home and lifestyle,91.98,10,45.99,965.79,02/26/2019,19:36,Ewallet,919.8,4.761904762,45.99,6.7
486-94-3051,A,Yangon,Member,Female,Home and lifestyle,23.5,4,4.7,98.7,02/03/2019,18:50,Cash,94.0,4.761904762,4.7,5.1
734-39-1221,B,Mandalay,Member,Male,Health and beauty,21.2,3,3.18,66.78,03/07/2019,13:22,Ewallet,63.6,4.761904762,3.18,9.5
377-14-2281,B,Mandalay,Member,Female,Fashion accessories,22.81,9,10.2645,215.5545,02/24/2019,11:01,Credit card,205.29,4.761904762,10.2645,5.4
996-31-6420,A,Yangon,Normal,Male,Fashion accessories,93.05,9,41.8725,879.3225,02/18/2019,18:18,Ewallet,837.45,4.761904762,41.8725,8.2
